Country	From	To	Regime	Elections	Franchise	Civil.Liberties	Civilian.Power
Paraguay	1928	1931	A	PV	NV	MV	NV
Paraguay	1932	1988	A	MV	NA	NA	NA
Paraguay	1989	1992	SD	PV	NV	PV	NV
Paraguay	1993	1995	SD	PV	NV	PV	PV
Paraguay	1996	1997	SD	PV	NV	PV	NV
Paraguay	1998	1999	SD	PV	NV	PV	PV
Paraguay	2000	2007	SD	NV	NV	PV	NV
Peru	1900	1911	A	MV	NA	NA	NA
Peru	1912	1913	SD	PV	PV	PV	NV
Peru	1914	1914	A	MV	NA	NA	NA
Peru	1915	1918	SD	NV	PV	PV	NV
Peru	1919	1932	A	MV	NA	NA	NA
Peru	1933	1935	A	NV	PV	MV	MV
Peru	1936	1938	A	MV	NA	NA	NA
Peru	1939	1947	SD	NV	NV	PV	NV
Peru	1948	1955	A	MV	NA	NA	NA
Peru	1956	1961	SD	PV	NV	NV	NV
Peru	1962	1962	A	MV	NA	NA	NA
Peru	1963	1967	D	NV	NV	NV	NV
Peru	1968	1979	A	MV	NA	NA	NA
Peru	1980	1982	D	NV	NV	NV	NV
Peru	1983	1984	SD	NV	NV	PV	NV
Peru	1985	1987	D	NV	NV	NV	NV
Peru	1988	1991	SD	NV	NV	PV	NV
Peru	1992	1994	A	MV	NA	NA	NA
Peru	1995	1999	SD	NV	NV	PV	NV
Peru	2000	2000	SD	PV	NV	NV	NV
Peru	2001	2007	D	NV	NV	NV	NV
Uruguay	1900	1903	A	PV	PV	MV	NV
Uruguay	1904	1914	SD	PV	PV	NV	NV
Uruguay	1915	1930	D	NV	NV	NV	NV
Uruguay	1931	1932	SD	PV	NV	NV	NV
Uruguay	1933	1937	A	MV	NA	NA	NA
Uruguay	1938	1941	SD	PV	NV	PV	NV
Uruguay	1942	1972	D	NV	NV	NV	NV
Uruguay	1973	1984	A	MV	NA	NA	NA
Uruguay	1985	2007	D	NV	NV	NV	NV
Venezuela	1900	1945	A	MV	NA	NA	NA
Venezuela	1946	1946	SD	PV	NV	NV	NV
Venezuela	1947	1947	D	NV	NV	NV	NV
Venezuela	1948	1957	A	MV	NA	NA	NA
Venezuela	1958	1998	D	NV	NV	NV	NV
Venezuela	1999	1999	SD	PV	NV	NV	NV
Venezuela	2000	2001	D	NV	NV	NV	NV
Venezuela	2002	2007	SD	NV	NV	PV	PV
