dataset,long_name,main_democracy_measure_col,measure_type,based_on,in_pmm_replication,categorical_regime_types,user_extendable,downloadable,included_in_package,first_published_use,source_link,licensing_info,notes
LIED,"The Lexical Index of Electoral Democracy, v. 3",lexical_index,ordinal,PIPE,FALSE,FALSE,FALSE,TRUE,TRUE,2015,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WPKNIT,CC0 1.0,
magaloni,"Autocracies of the World, 1950-2012 (Version 1.0).","demo_nr,demo_r,regime_r,regime_nr",dichotomous,PACL,FALSE,TRUE,TRUE,TRUE,TRUE,2013,http://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset/,Unknown. Assumed CC0 1.0,Can be extended using the duration_nr variable. Extended version included in this package.
mainwaring,"Mainwaring, Brinks, and Perez Linan's democracy measure for Latin America","mainwaring,Regime",trichotomous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,2001,,Unknown. Assumed CC0 1.0,
munck_pmm,Munck Index of Democracy,pmm_munck,continuous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,2009,,Unknown. Assumed CC0 1.0,"Only available via the Pemstein, Meserve, and Melton (2013) replication data. I have not been able to access the original data."
"pacl, pacl_update",The Democracy and Dictatorship Dataset (DD/PACL/ACLP/CGV),"democracy,regime,Democracy,DD_regime,DD_category",dichotomous,PACL,TRUE,TRUE,FALSE,TRUE,TRUE,1996,"http://www.christianbjoernskov.com/bjoernskovrodedata/, https://uofi.box.com/shared/static/bba3968d7c3397c024ec.dta",Unknown. Assumed CC0 1.0,"The original data was first compiled, as far as I know, for the famous ACLP study ""Modernization: Theories and Facts"" study of 1996. It was extended and changed by Cheibub, Gandhi, and Vreeland in 2010 (pacl dataset) and further updated by  Bjornskov and Rode (2020; pacl_update dataset), who added new institutional variables."
peps,Participation-Enhanced Polity Score,"PEPS1i,PEPS2i,PEPS1q,PEPS2q,PEPS1v,PEPS2v,polity1raw,Polity1,Polity2,Polity3",continuous,Polity,FALSE,FALSE,FALSE,TRUE,TRUE,2006,http://www.lehigh.edu/~bm05/democracy/PEPS1pub.dta,Unknown. Assumed CC0 1.0,
PIPE,The Political Institutions and Political Events (PIPE) dataset,"democracy,democracy2,regime",dichotomous,PIPE,FALSE,FALSE,FALSE,TRUE,TRUE,2010,https://sites.google.com/a/nyu.edu/adam-przeworski/home/data,Unknown. Assumed CC0 1.0,Democracy measures in PIPE are calculated in this package on the basis of imperfect instructions in the codebook.  Use with care.
pitf,Political Instability Task Force democracy indicator,pitf_binary,dichotomous,Polity,FALSE,FALSE,FALSE,FALSE,TRUE,2010,http://www.systemicpeace.org/inscr/,Unknown. Assumed CC0 1.0,Constructed score on the basis of Polity data.
pitf,Political Instability Task Force democracy indicator,pitf,ordinal,Polity,FALSE,FALSE,FALSE,FALSE,TRUE,2010,http://www.systemicpeace.org/inscr/,Unknown. Assumed CC0 1.0,Constructed score on the basis of Polity data.
polityIV,The Polity IV dataset,"polity,polity2",ordinal,Polity,TRUE,FALSE,FALSE,TRUE,TRUE,1975,http://www.systemicpeace.org/inscr/,Unknown. Assumed CC0 1.0,"The first compilation of this dataset (POLITY I) was probably first used in a 1975 study by Eckstein and Gurr, but had been collected by Gurr since the late 1960s. The current form of the data is very different from the original Polity I data. The Polity II codebook survives, but I find no record of the Polity I codebook."
polity_annual,The Polity5 dataset,"polity,polity2",ordinal,Polity,TRUE,FALSE,FALSE,TRUE,FALSE,1975,http://www.systemicpeace.org/inscr/,Unknown. Assumed CC0 1.0,"The first compilation of this dataset (POLITY I) was probably first used in a 1975 study by Eckstein and Gurr, but had been collected by Gurr since the late 1960s. The current form of the data is very different from the original Polity I data. The Polity II codebook survives, but I find no record of the Polity I codebook."
polyarchy,The Polyarchy Scale and the Contestation Scale,"cont,poly",ordinal,NA,TRUE,FALSE,FALSE,TRUE,TRUE,1990,https://www3.nd.edu/~mcoppedg/crd/poly8500.sav,Unknown. Assumed CC0 1.0,
polyarchy_dimensions,"Latent Dimensions of Contestation and Inclusiveness by Michael Coppedge, Angel Alvarez, and Claudia Maldonado","CONTEST,INCLUS",continuous,latent variable,FALSE,FALSE,FALSE,TRUE,TRUE,2008,http://www3.nd.edu/~mcoppedg/crd/DahlDims.sav,Unknown. Assumed CC0 1.0,
prc_gasiorowski,The Political Regime Change (PRC) dataset.,"regime,prc,prc_at_end_year,prc_at_beginning_year",trichotomous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1996,,Unknown. Assumed CC0 1.0,
reign,"The Rulers, Elections, and Irregular Governance (REIGN) dataset, regime characteristics worksheet.",gwf_regimetype,dichotomous,GWF,FALSE,TRUE,FALSE,TRUE,TRUE,2016,https://github.com/OEFDataScience/REIGN.github.io,Unknown. Assumed CC0 1.0,"Archived here now, since collection has stopped."
svmdi,Suport Vector Machine Democracy Index by Grundler and Krieger,"svmdi, csvmdi",continuous,latent variable,FALSE,FALSE,FALSE,TRUE,TRUE,2016,https://ml-democracy-index.net/,Unknown. Assumed CC0 1.0,
svmdi,Suport Vector Machine Democracy Index by Grundler and Krieger,dsvmdi,dichotomous,latent variable,FALSE,FALSE,FALSE,TRUE,TRUE,2016,https://ml-democracy-index.net/,Unknown. Assumed CC0 1.0,
svolik_regime,Milan Svolik's Regime Dataset,"regime,regime_numeric",dichotomous,PACL,FALSE,FALSE,FALSE,FALSE,TRUE,2012,https://campuspress.yale.edu/svolik/the-politics-of-authoritarian-rule/,Unknown. Assumed CC0 1.0,
uds,The Unified Democracy Scores,"mean,median",continuous,latent variable,FALSE,FALSE,TRUE,FALSE,TRUE,2010,,Unknown. Assumed CC0 1.0,"Can be extended using the methods described in this package's ""Replicating and Extending the UD scores of Pemstein, Meserve, and Melton"" article (https://xmarquez.github.io/democracyData/articles/articles/Replicating_and_extending_the_UD_scores.html)"
ulfelder,The Democracy/Autocracy Dataset by Jay Ulfelder,rgjtype,dichotomous,Polity,FALSE,FALSE,TRUE,TRUE,TRUE,2007,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/18836,CC0 1.0,Can be extended using the rgjdurd and rgjdura variables. Extended version included in this package.
utip,The University of Texas Inequality Project Categorical Dataset of Political Regimes,utip_trichotomous,trichotomous,NA,FALSE,TRUE,FALSE,TRUE,TRUE,2008,http://utip.lbj.utexas.edu/datasets.html,Unknown. Assumed CC0 1.0,Both the dichotomous and trichotomous versions of these measures are calculated by this package. The original dataset distinguishes several different types of democracy.
utip,The University of Texas Inequality Project Categorical Dataset of Political Regimes,"utip_dichotomous,utip_dichotomous_strict",dichotomous,NA,FALSE,TRUE,FALSE,TRUE,TRUE,2008,http://utip.lbj.utexas.edu/datasets.html,Unknown. Assumed CC0 1.0,Both the dichotomous and trichotomous versions of these measures are calculated by this package. The original dataset distinguishes several different types of democracy.
vanhanen,"Vanhanen measures of democracy, 1800-2018",vanhanen_democratization,continuous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1968,https://services.fsd.tuni.fi/catalogue/FSD1289?lang=en&study_language=en,CC-BY 4.0,"Vanhanen first collected democracy data on 12 countries for his 1968 dissertation. Current data is different from the original data, though it still uses a similar conceptual scheme."
vdem,"The Varieties of Democracy Dataset, version 12","v2x_polyarchy,v2x_api,v2x_mpi,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem",continuous,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2015,https://www.v-dem.net/data/the-v-dem-dataset/,CC-BY-SA 4.0,"The full dataset be accessed using the package vdemdata. (Use ""remotes::install_github(""vdeminstitute/vdemdata"")""; the package is not on CRAN)"
wahman_teorell_hadenius,"Authoritarian Regimes Data Set, version 5.0, by Axel Hadenius, Jan Teorell, & Michael Wahman","regime1ny,regime1nyrobust, regimeny, regimenyrobust",dichotomous,"FH,Polity",FALSE,TRUE,FALSE,TRUE,TRUE,2007,https://sites.google.com/site/authoritarianregimedataset/data,Unknown. Assumed CC0 1.0,
wgi_democracy,"The World Governance Indicators ""Voice and Accountability"" Index",Estimate,continuous,FH,FALSE,FALSE,FALSE,TRUE,FALSE,2010,http://info.worldbank.org/governance/wgi/,Unknown.,
