gwf_case	start_event	end_event
Cuba (1952-59)	"Start: 3/10/1952 Coup by junior officers led by retired general and former President Batista ousted the civilian government and returned Batista to the presidency (Suchlicki 2001; Gott 2005, 146)."	"End: 1/1/1959 Castro's arrival in Havana after Batista and his cronies' flight and the disintegration of the military in the face of insurgency (Dominguez 1998, 130-31)."
Cuba (1959-)	"Start: 1/1/1959 Castro's arrival in Havana leading insurgent forces; they installed a new ruling group centered on the Castro brothers and their closest supporters (Dominguez 1998, 130-31)."	"End: Regime continued in power as of December 31, 2010."
Czechoslovakia (1948-89)	"Start: 2/25/1948 Communist takeover of what had previously been a coalition government. In a situation of increasingly extreme communist tactics, 12 non-communist ministers resigned. The communist Interior Minister deployed police regiments and took over Prague while communist activists mobilized demonstrations, forcing President Benes to accept the ministers' resignations. The communist PM then named communist ministers to replace them until the required election, which was controlled and won by the communists (Kohut 1987)."	"End: 12/4/1989 Resignation of the communist regime leadership in response to massive demonstrations and strikes (Bernhard 1993, 324-25; Friedheim 1993, 483)."
Dominican Republic (1930-62)	"Start: 2/23/1930 Rebellion supported by Brig Gen Trujillo installed him as regime leader (Hartlyn 1998, 85; Jimenez 2000, 147-48)."	"End: 1/16/1962. Coup ousted Balaguer, Trujillo's designated successor, and initiated a transitional government to oversee competitive elections (Wiarda 1975, 263). Provisional government oversaw fair and competitive elections in December 1962, won by the opposition (Hartlyn 1998, 103)."
Dominican Republic (1963-65)	"Start: 9/26/1963 Coup led by Gen Wessin y Wessin ousted the elected president and installed a new ruling group (Atkins and Wilson 1998, 130)."	"End: 4/24/1965 The Wessin y Wessin regime was overthrown by a force that combined a faction of the military with civilian Bosch (the ousted civilian president) supporters. Both sides of the conflict were armed. The rebels defeated the faction of the military that supported the triumvirate and installed an interim government (Wiarda and Kryzanek 1992, 42-43). Although invading U.S. forces ousted the new government after a very short time, the regime end is coded as caused by an insurgency or civil war because the 1963-65 regime was ousted by armed rebels, not the U.S."
Dominican Republic (1966-78)	"Start: 6/1/1966 Election of Balaguer during U.S. occupation in an atmosphere of violence and intimidation (Campillo Perez 1986, 251-55). Although multiparty elections were held regularly between June 1966 and May 1978, this period is considered authoritarian because elections were unfair and civil liberties unprotected (Hartlyn 1998, 108-9)."	"End: 5/16/1978. Election won by the opposition (Campillo Perez 1986, 289-95; Hartlyn 1989)."
Ecuador (1944-47)	"Start: 5/31/1944 Coup led by junior officers supported by several leftist parties and accompanied by a popular uprising. The officers turned turned power over to Velasco Ibarra, a popular civilian politician (Fitch 1977, 19; Becker 2000, 1-2)."	"End: 8/23/1947 Coup led by the Minister of Defense ousted the president, but the rest of the military refused to support him. They returned power to the president's constitutional successor as interim president. The interim president returned the country to constitutional rule, and Congress elected a civilian to finish the president's term (Fitch 1977, 39; Becker 2000, 5; OnWar 2000b)."
Ecuador (1963-66)	"Start: 7/11/1963 Coup ousted the elected president and installed a military junta (Fitch 1977, 61-3; Schodt 1987, 82)."	"End: 3/29/1966 Mass protests caused the junta to resign. They handed power to an interim civilian president to oversee a Constituent Assembly, which elected a provisional president (Maier 1971, 506; Fitch 1977, 171-72), who oversaw competitive presidential elections in 1968 (Fitch 1977, 175; Freeman 1981)."
Ecuador (1970-72)	"Start: 6/22/1970 Autogolpe by the elected president: closed Congress, ruled by decree supported by the military, arrested the opposition, suspended the constitution (Fitch 1977, 175-76)."	"End: 2/15/1972 Coup led by Gen. Rodriguez Lara, Commander of the Army, ousted the civilian government (Fitch 1977, 179)."
Ecuador (1972-79)	"Start: 2/15/1972 Coup led by Gen Rodriguez Lara, commander of the army, installed a military junta (Fitch 1977, 179)."	"End: 4/29/1979. Second round of competitive presidential election, as part of transition to democracy (Schodt 1987, 131)."
Egypt (1922-52)	"Start: 2/28/1922 Independence as a formally constitutional monarchy; King Fuad violated the constitution the same year it was adopted and suspended it in 1930 (Vatikiotis 1961, 23)."	"End: 7/23/1952 Coup led by Col Nasser and the Free Officers, an organization of junior and mid-level officers, assumed power. The military rulers ended the monarchy in June 1953 (Haddad 1973, 11-12, 21-22; Perlmutter 1974, 49)."
Egypt (1952-)	"Start: 7/23/1952 Coup led by Lt Col Nasser and the Free Officers, an organization of junior and mid-level officers. They established the Revolutionary Command Council made up of members of the Free Officiers' executive committee to rule (Haddad 1973, 11-12, 21-22, Brooker 1995, 148)."	"End: Regime continued in power as of December 31, 2010. [Ousted February 2011 in response to popular uprising, power handed to the military.]"
El Salvador (1931-48)	"Start: 12/2/1931 Coup by junior officers ousted the elected civilian president and replaced him with Gen Hernandez Martinez who had been vice president, Defense Min, and commander of the armed forces (White 1973, 99; Haggerty 1988; Stanley 1996, 48-50, 63-4)."	"End: 12/14/1948 Coup led by junior officers forced the retirement of all officers ranked above Lt. Col., which eliminated the Hernandez Martinez faction, and initiated a Revolutionary Governing Council chosen by the whole remaining officer corps (White 1973, 105; Stanley 1996, 67). The post-1948 regime is considered different from the earlier one because of the change in ranks of those leading the regime."
El Salvador (1948-82)	"Start: 12/14/1948 Coup led by junior officers forced the retirement of all officers ranked above Lt. Col and initiated a Revolutionary Governing Council chosen by the whole remaining officer corps (White 1973, 105; Baloyra 1982, 17; Stanley 1996, 67)."	"End: 3/28/1982 Constituent Assembly election. Under pressure from the U.S., a civilian, Maga~na,, was chosen provisional president by the Constituent Assembly. He assumed office on May 2, 1982 and the junta resigned (Sharpe and Diskin 1984, 533). In May 1984, a civilian president was elected in the second round of a fair presidential election. Candidates were chosen by political parties that were not under the full control of the military, the opposition won, and the civilian president was allowed to take office, though the military retained control over key policy decisions. This marks a transition from direct to indirect military rule; it is not considered a transition to democracy because popular parties on the left remained excluded from politics, and the military retained a veto over large areas of policy (Williams and Walter 1997, 114, 126-29)."
El Salvador (1982-94)	"Start: 3/28/1982 Transition from direct rule by a military junta to indirect military control of a civilian government. Under U.S. pressure, a Constituent Assembly from which the left had been excluded was elected, and it chose a civilian president acceptable to both the military and Washington. Though a presidential election was won by the permitted opposition in May 1984, the 1982-94 regime is coded as indirect military rule because continuing repression of the left prevented parties representing a substantial part of the population from participating in elections; in addition, experts judged that the military continued to dominate important aspects of policy choice, e.g., "Paradoxically, during the 1980s at the very time that a military-dominated junta was transferring formal power to a civilian president, the armed forces were successfully consolidating their presence in the state, expanding their network of control in the countryside, and maintaining their institutional autonomy" (Williams andWalter 1997, 114). Williams and Walter (1997, 127-28) describe a secret agreement between elected but not yet inaugurated President Duarte and General Vides Casanova to maintain the composition of the high command and cooperate with military policy preferences. The military "retained their right, and ability, to intervene in what they deemed undesirable situations" (Williams and Walter 1997, 129)"	"End: 3/20/1994 El Salvador's ruling group allowed a fair, fully competitive presidential election in which left parties ran for the first time (McBride 1994). This marks a transition to democracy."
Eritrea (1993-)	"Start: 5/24/1993 Independence under the control of Afwerki and the EPLF, one of the armed independence movements; they established a party-based government (Political Handbook of the World 2012g, 446)."	"End: Regime continued in power as of December 31, 2010."
Ethiopia (1889-1974)	"Start: 11/3/1889 The coronation of Menelik II after the seizure of the Ethipian throne in battle by Menelik of Shewa (then a vassal state of Ethiopia) initiated a new dynasty. Menelik unified the areas that currently form Ethiopia (Haile-Selassie 1997, 27-29, 34; Turner 1991; Mockler 2002, 89-90)."	"End: 9/12/1974 The emperor was deposed by the Coordinating Committee of the Armed Forces, Police and Territorial Army (the Dergue) (Abate 1983, 32). This marks the endpoint of a the transition from monarchy to rule by the Dergue, which had taken control of the government during a popular uprising that began February 1974 (Haile-Selassie 1997, 121, 127)."
Ethiopia (1974-91)	"Start: 9/12/1974 The Dergue (Coordinating Committee of the Armed Forces, Police, and Territorial Army) deposed the emperor, suspended parliament and the constitution after taking control of government during a popular uprising/military rebellion that began February 1974 (Abate 1983, 32; Keller 1991, 187; Haile-Selassie 1997, 121, 127). Between February and September 1974, the Dergue eliminated power holders of the old regime; the removal of the emperor completed the transition from monarchy to a new form of autocracy. When the crown prince, who had been offered the throne, refused to return to Ethiopia, the Dergue proclaimed itself acting head of state and changed its name to the Provisional Military Administrative Council (PMAC) on September 13, 1974 Haile-Selassie 1997, 128. The Dergue originally included three elected representatives from each unit of the armed forces; members ranged from ordinary soldiers to colonels (Erlich 1983, 473-75; Clapham 1985, 260; Haile-Selassie 1997, 147-48)."	"End: 5/8/1991 Mengistu fled the country after the regime was defeated by insurgents from several different regions. Remaining officials declared a ceasefire and EPRDF forces began entering Addis Ababa on May 27, 1991 (Haile-Selassie 1997, 284-328)."
Ethiopia (1991-)	"Start: 5/27/1991 EPRDF forces began entering Addis Ababa after defeating the Ethiopian army along with insurgents from several different regions and set up a government (Haile-Selassie 1997, 284-328)."	"End: Regime continued in power as of December 31, 2010."
Gabon (1960-)	"Start: 8/17/1960 Independence with M'ba already in office as Prime Minister, supported by the French. Although the political system was formally parliamentary with an elected assembly, before independence M'ba had already arrested an opposition leader and intimidated some opposition deputies into switching parties. Gerrymandering and a multimember district, plurality electoral system gave the BDG a very strong majority in the June 1960 election. In November 1960 he interned 8 opponents in his own party (Bernault 1996, 294-97)."	"End: Regime continued in power as of December 31, 2010."
Gambia (1965-94)	"Start: 2/18/1965 Independence under single-party government led by Jawara and the PPP. The PPP won the pre-independence election in 1962. Members of other parties were coopted into the ruling party. The only important opposition party won a third of the seats in 1962, but by 10/64, seven of its 13 MPs had crossed the aisle. It won seven seats in the 1966 election, and neither it nor other opposition parties won more than seven altogether in subsequent elections. The Jawara government did not use repression against its challengers, but it did very successfully use state resources to maintain its dominant position. Although opposition parties were always allowed to run in elections, this regime is included in the data set because the ruling PPP maintained an uneven playing field through monopolization of patronage and state resources for nearly 30 years (Hughes and Perfect 2008, l-lvii; Political Handbook of the World 2012h, 509)."	"End: 7/22/1994 Coup led by junior officers ( Economist 1996c; Saine 1996, 97)."
Gambia (1994-)	"Start: 7/22/1994 Coup led by Lt Jammeh and other junior officers created the Armed Forces Provisional Ruling Council to rule (Economist 1996c, 44, Saine 1996, 97)."	"End: Regime continued in power as of December 31, 2010."
Georgia (1991-92)	"Start: 9/16/1991 The arrest of the most important opposition leaders and repression of demonstrators in September 1991 identifies the date when the Gamsakhurdia government crossed the line from more-or-less democratic to autocratic (Los Angeles Times 1991; Global Security 2011e)."	"End: 1/6/1992 Violent overthrow of the civilian government by a faction of the militia forces that had been incorporated into the national army (Zurcher 2007, 126-27; Global Security 2011e)."
Georgia (1992-2003)	"Start: 1/6/1992 Violent ouster of the Gamsakhurdia government by a faction of the militia forces that had been incorporated into the new national army; the coup leaders invited Shevardnadze to return to the country and lead the government (Slider 1994; Zurcher 2007, 126-27; Global Security 2011e)."	"End: 11/23/2003 Demonstrations led to Shevardnadze's resignation and the transfer of power to an opposition interim president who held fair presidential elections in January 2004, won by a leader of what had been the opposition to Shevardnadze (Jones 2009, 317-34; U.S. Dept. of State 2009; Devdariani 2011, 107-108)."
Germany, East (1949-1990)	"Start: 10/7/1949 This date marks the establishment of a separate East German state and the Soviet transfer of power to the newly chosen governing institutions of the German Democratic Republic (Gallagher 1987)"	"End: 3/18/1990 Socialist Unity Party (communist) lost a competitive election which was forced on the government by massive demonstrations (Pfaff 2006, 242)."
Ghana (1960-66)	"Start: 4/27/1960 "Authoritarianization" due to de facto one-party rule and increasing concentration of power in Nkrumah's hands, preventive detention law used to control opposition. Post-independence authoritarianzation was gradual; on this date a referendum confirmed Nkrumah as president and concentrated power in the presidency; it is identified as the point at which the threshold between democracy and autocracy was crossed (Pinkney 1972, 15-16; Finer 1975, 501; McLaughlin and Owusu-Ansah 1994; Brooker 1995, 103-10; African Elections Database 2011a)."	"End: 2/24/1966 Coup led by Col. Kotoka with support from the senior commander of the police ousted the civilian government (Pinkney 1972, 70; Bebler 1973, 36-38; Brooker 1995, 111-12)."
Ghana (1966-69)	"Start: 2/24/1966 Coup led by Col Kotoka and Maj Afrifa, handed power to dismissed Maj Gen Ankrah and established the ruling group, National Liberation Council, of 4 military and 4 police officers (Pinkney 1972, 2, 121; Bebler 1973, 36-40)."	"End: 8/29/1969 Competitive election after the military agreed to return to the barracks (Bebler 1973, 54-55; Dowse 1975, 24; African Elections Database 2011a)."
Ghana (1972-79)	"Start: 1/13/1972 coup led by Lt Col Acheampong ousted the elected government and established the Military Redemption Council, initially 6 colonels and majors with 1 civilian, but expanded to 12 to include all services and "satisfy hierarchical propriety"; the civilian was dropped. In 1975 the MRC was replaced by a seven man Supreme Military Council composed of the heads of the services, police, border guards, and chief of the defense staff (Bebler 1973, 56-60; Bennett 1975, 308; Political Handbook of the World 2012i, 539)."	"End: 7/9/1979 Second round of competitive presidential elections agreed to by the military as a means of democratizing (African Elections Database 2011a)."
Ghana (1981-2000)	"Start: 12/31/1981 Coup led by Flight Lt Rawlings, established the Provisional National Defense Council, a mixed military and civilian ruling group (McLaughlin and Owusu-Ansah 1994)."	"End: 12/28/2000 The ruling NDC lost the second round of a competitive presidential election (African Elections Database 2011a)."
Greece (1967-74)	"Start: 4/21/1967 Coup led by Col Papadopoulos and the Holy Bond of Greek Offi- cers (IDEA) military faction installed themselves as rulers (Feit 1973, 118-22; Brown 1974, 217; Veremis 1985, 30-32)."	"End: 7/23/1974 Military transfer of power to Karamanlis in preparation for competitive elections and transition to democracy (Veremis 1985, 41)."
Guatemala (1954-58)	"Start: 6/27/1954 A CIA-sponsored invasion by exiles supported by part of the military ousted the elected government (Gibson 1989, 172; Dunkerley 1992, 300)."	"End: 2/2/1958 Congress chose the plurality winner of the January 1958 election as president. Although several parties that would have been expected to attract substantial votes were excluded from participation, and thus the election is not considered democratic, it was nevertheless won by a candidate opposed by the military. The election did lead to a transition to rule by a civilian not selected by the military and thus is coded as the end of the preceding military regime (New York Times 1958; Dunkerley 1988, 439)."
Guatemala (1958-63)	"Start: 2/2/1958 Congress chose the next president after a competitive election in which the left was not permitted to run led to the election of a right-wing populist candidate opposed by the military. This regime is considered authoritarian because the military prohibited left and center-left parties supported by a large segment of the population from competing in the election (Dunkerley 1988, 439)."	"End: 3/30/1963 Coup led by Col. Peralta, Defense Minister (Dunkerley 1988, 443)."
Guatemala (1963-66)	"Start: 3/30/1963 Coup led by Col Peralta, Def Min established a military ruling group (Dunkerley 1988, 443)."	"End: 5/10/1966 Congress selected the president after the March 1966 presidential election, as required by the constitution, because the election failed to produce a majority winner. The left and several other parties were not allowed to run, but nevertheless a civilian centrist candidate, Mendez Montenegro, won a plurality of the votes in opposition to a military sponsored candidate (Weaver 1970, 68, 77-78; Calvert 1985, 83). The transition to a civilian president is coded as a regime change because the military lost direct control of the presidency, even though it maintained control over substantial areas of policy."
Guatemala (1966-70)	"Start: 5/10/1966 Congressional selection of Mendez Montenegro, the plurality winner of the March 1966 election, in which the left and several other parties were prohibited from running. The regime is considered authoritarian because the election was semicompetitive and Mendez had to agree to military control of its "own" affairs and important policy areas in order to be inaugurated - not just control of the war against the insurgency, but also tax and other important domestic policies (Weaver 1970, 68, 78; Johnson 1971, 35; Calvert 1985, 83; Dunkerley 1988, 459). Therefore the regime is coded as indirect military rule. Beginning in November 1966 a state of siege further curtailed constitutional rights (Dunkerley 1988, 457)."	"End: 3/1/1970 Election of Col. Arana, nominated by the military, marks the end of indirect military rule and the beginning of direct military rule (Johnson 1971, 41; Dunkerley 1988, 459). This is considered a regime change because the group from which the leader could be selected narrowed to top military officers."
Guatemala (1970-85)	"Start: 3/1/1970 Election of Col Arana, candidate of the military, MLN and PID, in an election in which the left and some other parties were prohibited from running (Johnson 1971, 41; Berger 1986, 563; Dunkerley 1988, 459; Montenegro Rios 2002, 122-23, 133). From this election until 1985, only military officers were permitted to win elections, so this regime is coded as a different from the previous one in which civilians shared top policy making positions with the military."	"End: 12/8/85 Second round of semi-competitive presidential elections in which the military did not run or back a candidate, won by the Christian Democrats (Nohlen 2005, 323). This is considered a regime end because the group from which leaders could be chosen expanded to include civilians, and civilians controlled many aspects of policy even though the military maintained veto power over substantial aspects of policy and prevented the left from competing in elections (Weaver 1994, 238; Dunkerley and Sieder 1996, 83; Leonard 1998, 106; Jonas 2000, 26)."
Guatemala (1985-95)	"Start: 12/8/1985 The second round of a fair, semi-competitive presidential election in which non-leftist parties were allowed to run was won by the Christian Democrats (Anderson 1988, 61). The military retained control of its own affairs and veto power over substantial areas of policy (Dunkerley 1988, 498-99). Regime is considered authoritarian despite competitive elections because the military continued to exclude parties on the left from electoral competition and to exercise veto power in some policy areas."	"End: 11/12/1995 Fair and competitive general elections in which the left was for the first time allowed to participate marks the end of indirect military rule and a transition to democracy (Jonas 2000, 21-22). Over time between 1985 and 1995, the military reduced its areas of policy control. The 1995 change in the identity of the group from which leaders could be drawn and in the rules for selecting leaders completes the transition to democracy (Center for Democratic Performance 2011)."
Guinea (1958-84)	"Start: 10/2/1958 Independence under PDG single-party rule. The PDG won a fair election before independence, but the opposition merged with the PDG soon after independence. The regime is considered authoritarian because the government began suppressing opposition soon after independence (Finer 1975, 495-96; Brooker 1995, 117-18; U.S. Dept. of State 2011b)."	"End: 4/3/1984 Coup led by Lt Col Conte and other middle ranking officers against the PDG regime after Toure's death (Economist Intelligence Unit 2008d; U.S. Dept. of State 2011a; Political Handbook of the World 2012j)."
Guinea (1984-2008)	"Start: 4/3/1984 Coup led by Lt Col Conte established the Comite Militaire de Redressement National to rule (U.S. Dept. of State 2011a; Political Handbook of the World 2012j, 569)."	"End: 12/23/2008 Coup led by Capt. Camara against those attempting to perpetuate the Conte regime after his death (Economist 2009; U.S. Dept. of State 2011a; Political Handbook of the World 2012j)."
Guinea (2008-10)	"Start: 12/23/2008 Coup led by Capt Camara, established the Comite National pour le De velopement et la De mocratie (National Council for Democracy and Development) to rule (U.S. Dept. of State 2011a, Political Handbook of the World 2012j, 570)."	"End: 1/16/2010 Agreement between Konate, Camara, and the opposition turned power over to a transitional government led by the opposition until elections (All Africa 2010). President Camara was shot in December 2009 and General Konate took over as president while Camara was in Morocco for medical treatment. Second round of competitive presidential election on November 7 2010 completed transition to democracy (Burgis 2010, 1; Political Handbook of the World 2012j)."
Guinea Bissau (1974-80)	"Start: 9/10/1974 Independence under the single party that had led the fight for independence, PAIGC, led by Luis Cabral (Piette 2005, 526)."	"End: 11/14/1980 Coup led by ex-Brig Gen Vieira ousted the civilian regime. The subsequent regime is coded as different because its ethnic base was different, despite the maintenance of the same ruling party (U.S. Dept. of State 2011c; Political Handbook of the World 2012k, 578)."
Guinea Bissau (1980-99)	"Start: 11/14/1980 Coup led by PM and ex-Brig Gen Vieira, recently replaced by Cabral as commander of the army. This regime is considered different from the previous one because Cabral and his closest supporters came from Cape Verde, but Vieira and his were from mainland Guinea Bissau. PAIGC led both countries until 1980, and unification was in the works. Vieira maintained the single party but replaced the National Assembly and State Council with a predominantly military nine-man Revolutionary Council. Cape Verde ended plans for unification after the coup, and most Cape Verdians left the party (Forrest 1987, 103-5; Piette 2005, 526; Political Handbook of the World 2012k, 579)."	"End: 5/7/1999 Vieira ousted by an insurgency led by ex-army chief of staff Brig Gen Mane (BBC News 1999a; Piette 2005, 529; Political Handbook of the World 2012k)."
Guinea Bissau (2002-03)	"Start: 11/16/2002 The elected president, Yala, dissolved parliament, and then repeatedly postponed new elections. We code parliament's dissolution as the point at which Yala crossed the line from democracy to autocracy. He also refused to promulgate the 2001 constitution and governed by decree, harassed the opposition and arrested opposition leaders (Piette 2005, 532-33; Freedom House 2010; Political Handbook of the World 2012k, 579)."	"End: 9/14/2003 Coup led by Chief of Staff and Defense Min Correia Seabra ousted Yala and established a transitional government that oversaw a transition to democracy (United Nations Information Service 2003; Political Handbook of the World 2012k, 579). Fair legislative elections were held in March 2004, and fair presidential elections in June-July 2005 completed the transition the following year (African Elections Database 2011b)."
Haiti (1941-46)	"Start: 6/5/1941 After the president was elected by the elected Assembly, repression of opponents began immediately. We identify the date when the president took personal control of the Garde d'Haiti (the National Guard, Haiti's military), which was used against the opposition, as the point when the line between democracy and autocracy was crossed (Smith 2009, 43; Hatian Media 2012)."	"End: 1/11/1946 Violent popular uprising led to Lescot's resignation. Interim military government oversaw competitive elections May 1946 (Nohlen 1993, 389; Smith 2009, 80-81, 89; Hatian Media 2012). Although suffrage was not universal, it was broad enough to meet the coding criteria for democracy (Nohlen 1993, 379)."
Haiti (1950-56)	"Start: 5/10/1950 Coup led by the three commanding officers in the context of violent pro- and anti-government demonstrations and the elected president's effort to extend his term illegally (Nohlen 1993, 389; Smith 2009, 144-47)."	"End: 12/12/1956 Popular protests forced President Magloire to resign. He was succeeded by the head of the Supreme Court who agreed to fair competitive elections (Smith 2009, 171-72; Hall 2012, 272)."
Haiti (1957-86)	"Start: 6/14/1957 Coup ousted the interim government (the third since December 1956) and announced a new election date for September 1957. The military government then supervised an unfair election in which their favored candidate, F. Duvalier, was elected (Nohlen 1993, 389; Smith 2009, 177-83)."	"End: 2/7/1986 Jean-Claude Duvalier fled because of popular uprising and was replaced by an interim government under Lt. Gen. Namphy, Chief of Staff (Nicholls 1998, 165-66; U.S. Dept. of State 2010a."
Haiti (1986-88)	"Start: 2/7/1986 The formation of what was supposed to be an interim transitional government made up of two civilians and three officers, the Conseil National de Gouvernement, led by Lt-Gen Namphy. This government is not treated as a continuation of the previous regime because it authorized legal proceedings against Duvalier allies and banned them from holding office for ten years (Payne and Sutton 1993, 80-84), thus changing the rules for choosing leaders. The first attempted election in November 1987 was canceled because of violence. The opposition boycotted the new election in January 1988, which was rigged to produce a winner acceptable to the military. In June 1988 Namphy ousted the newly elected civilian president who was expected to cooperate with the military but had tried to dismiss him (Payne and Sutton 1993, 89; Nicholls 1998, 169)."	"End: 9/17/1988 Coup by junior officers and non-commissioned officers ousted the government led by Lt. Gen. Henri Namphy and high ranking officers (Payne and Sutton 1993, 90)."
Haiti (1988-90)	"Start: 9/17/1988 Coup led by non-commissioned officers established a new ruling group (Nohlen 1993, 390; Payne and Sutton 1993, 90)."	"End: 3/10/1990 The military handed power to an interim government headed by Chief Justice of the Supreme Court, Ertha Pascal-Trouillot, to oversee a democratic transition (Nohlen 1993, 390; Payne and Sutton 1993, 92-94; Hall 2012, 272)."
Haiti (1991-94)	"Start: 9/30/1991 coup led by Brig Gen Cedras ousted the elected president and established military rule (Nohlen 1993, 390; U.S. Dept. of State 2010a)."	"End: 10/12/1994 Military regime led by Cedras ousted by foreign intervention, which oversaw the return of the previously elected president (Malone 2008, 133; Global Security 2011d; Hall 2012, 272)."
Haiti (1999-2004)	"Start: 1/12/1999 "Authoritarianization" when elected President Preval suspended the legislature and began to rule by decree after the legislature refused to confirm his third nominee for PM, amid accusations of vote rigging in legislative elections (Erickson 2004; Wucker 2004, 45)."	"End: 2/29/2004 Aristide fled in response to a popular uprising led by a former police chief and criminal gang leaders (Erickson 2005, 86; Hall 2012, 272)."
Honduras (1933-56)	"Start: 11/26/1933 Gen Carias won a fair election in October 1932, but maintained the state of siege declared by his predecessor and extended his political control to all areas of the country through the appointment of local political and military offi- cials. Initially, Carias relied primarily on patronage and control over the distribution of state resources to coopt opposition politicians. We date "authoritarianization" to the manipulated municipal elections of November 1933. Beginning in 1935, arrests and repression of the opposition became more extensive (Stokes 1950, 219-26; Mac- Cameron 1983, 17; Haggerty and Millet 1993; Leonard 1998, 96; Dodd 2005, 62-71)."	"End: 10/21/1956 Coup that installed an interim government to oversee a democratic transition (Anderson 1981, 59-60; Morris 1984, 11-12, 36-38)."
Honduras (1963-71)	"Start: 10/3/1963 Coup led by Air Force Col and commander of the armed forces Lopez Arellano ousted the elected government and established a military junta (Haggerty and Millet 1993, Morris 1984, 39)."	"End: 3/28/1971 Fair election under the auspices of a pact for power sharing between the PN and PL that led to a transition to civilian rule (Morris 1984, 43; Anderson 1988, 134)."
Honduras (1972-81)	"Start: 12/4/1972 Coup led by Gen Lopez Arellano (promoted while previously in power) ousted the elected president and reestablished military rule (Morris 1984, 44)."	"End: 11/29/1981 Competitive election ended military rule (Pearson 1982, 439; An68 Autocratic regime Start and End events derson 1988, 155). The election was won by the party not supported by the military, and the elected president took office in January 1982, completing the transition to democracy."
Hungary (1947-90)	"Start: 2/25/1947 The arrest of the Smallholders' secretary general and a number of other opposition activists on trumped up charges marks the point at which the communists' gradual takeover crossed the line to autocratic regime. Although the communists did not control the government between the fair 1945 election and the unfair election in August 1947, they controlled the Interior Ministry and the police as part of a Smallholder-led coalition, which allowed them to intimidate and arrest supporters of other parties. They intimidated the Smallholders' PM into resigning in May 1947. Despite intimidation and fraud, the communists won only a plurality (22%) of the vote in 1947, but were able to control the succeeding government through a coalition with allies in other parties. The disorganization and repression of the Smallholders' Party, which had been the largest, was completed in 1947, and the Social Democrats, the other authentic large party, were forced to merge with the communists in June 1948 (Rakosi 1952; Sudetic 1993; Nyyssonen 2001, 892; Wittenberg 2006, 56-57; Institute for the History of the 1956 Hungarian Revolution 2012)."	"End: 4/8/1990 Second round of fair and competitive parliamentary elections (March 25 and April 8) won by an opposition party (Racz 1991, 112; U.S. Dept. of State 2011d). Although the communist party legalized other parties, gave up its constitutional role in leading the country, and carried out several other important reforms during 1989, it did not actually lose control of the government until the 1990 elections."
Indonesia (1949-66)	"Start: 12/27/1949 Independence under Sukarno's leadership. At independence, Sukarno was unelected president. The unelected first parliament included representatives of the Dutch-created states, members of the revolutionary committee, and members appointed by Sukarno based on estimates of the various parties' strength. The first parliamentary election was not held until September 1955 (Liddle 1978, 173-74)."	"End: 3/11/66 "Soft" coup forced Sukarno to yield executive power to Suharto and changed the identity of the group that could influence policy and from which leaders could be chosen. Many groups of civilians were eliminated from the ruling group, which army officers dominated after 3/66. The counterattack and mass killing led by Suharto after the attempted leftist military rebellion of October 1, 1965 is not treated as the transition event because Sukarno remained in office with the balance of power between him and Suharto uncertain. The PKI (communist party) was destroyed as an important base of civilian support for Sukarno, but he maintained the support of the two largest parties, PNI and NU, most leading officers in the air force, navy, and police, and important officers in the army until March 1966. Sukarno refused to outlaw the PKI despite military pressure, and he was able to appoint ministers and top military officers opposed by the army high command during that time (Crouch 1988, 158-78). Consequently, we code Sukarno as still in control until March 1966. The military-instigated pogrom against communists and others was largely over before the coup that changed the leadership at the top (Crouch 1988, 135-63). The March 1966 coup resulted in the transfer of day-to-day executive power to Suharto, the arrest of more than fifteen ministers, the purge of left-leaning bureaucrats, officers, and PNI party leaders, and the symbolically important outlawing of the PKI. Thus we code it as the point at which Sukarno lost control, though he retained the formal title president until March 1967 (Crouch 1988, 188-202)."
Indonesia (1966-99)	"Start: 3/11/1966 Transfer of the most important political and military powers to Suharto (Crouch 1988, 188-202)."	"End: 6/7/1999 Fair and competitive parliamentary election won by the opposition. In October 1999, the mostly elected legislature chose a new president from the opposition (Thompson 1999, 1). Suharto's resignation in response to mass demonstrations is not treated as the regime end because he transferred power to his long-time close ally Habibie, and there were no major changes in either the cabinet or the military command under Habibie (Kingsbury 2003, 162)."
Iran (1925-79)	"Start: 12/15/1925 This is the date the Majlis crowned Reza Khan as Reza Shah, beginning of the Pahlavi dynasty. Reza Khan, commander of the only Persian officered armed force of the Qajar dynasty, seized Teheran by armed force in February 1921. A civilian ally was appointed PM and in turn appointed Reza Khan commander of the armed forces. Reza Khan became PM in 1923 when the shah went into exile. The Majlis deposed the Qajar dynasty in October 1925 and handed the crown to Reza Khan in December 1925 (Bakhash 1987; Kechichian 1987)."	"End: 1/16/1979 Departure of the Shah in response to massive demonstrations (Bakhash 1989; BBC News 2008a)."
Iran (1979-)	"Start: 1/16/1979 Ouster of the Shah by popular uprising led to the establishment of a new ruling group led by Ayatolla Khomeini (Bakhash 1987; BBC News 2008a)."	"End: Regime continued in power as of December 31, 2010."
