305	AUS	Austria	14:11:1918	01:11:2008
310	HUN	Hungary	03:11:1918	01:11:2008
315	CZE	Czechoslovakia	01:01:1919	31:12:1992
316	CZR	Czech Republic	01:01:1993	01:11:2008
317	SLO	Slovakia	01:01:1993	01:11:2008
325	ITA	Italy/Sardinia	01:01:1816	01:11:2008
327	PAP	Papal States	01:01:1816	22:09:1870
329	SIC	Two Sicilies	01:01:1816	16:03:1861
332	MOD	Modena	01:01:1816	16:03:1861
335	PMA	Parma	01:01:1816	16:03:1861
337	TUS	Tuscany	01:01:1816	16:03:1861
338	MLT	Malta	21:09:1964	01:11:2008
339	ALB	Albania	01:01:1913	01:11:2008
341	MNG	Montenegro	01:01:1868	01:07:1915
341	MNG	Montenegro	03:06:2006	01:11:2008
343	MAC	Macedonia (Former Yugoslav Republic of)	20:11:1991	01:11:2008
344	CRO	Croatia	25:06:1991	01:11:2008
345	SER	Serbia	13:07:1878	01:10:1915
345	SER	Serbia (Yugoslavia)	01:12:1918	01:11:2008
346	BOS	Bosnia-Herzegovina	03:03:1992	01:11:2008
347	KOS	Kosovo	17:02:2008	01:11:2008
349	SLV	Slovenia	25:06:1991	01:11:2008
350	GRC	Greece	17:05:1827	01:11:2008
352	CYP	Cyprus	16:08:1960	01:11:2008
355	BUL	Bulgaria	03:03:1878	01:11:2008
359	MLD	Moldova	27:08:1991	01:11:2008
360	RUM	Rumania	13:07:1878	01:11:2008
365	RUS	Russia (Soviet Union)	01:01:1816	01:11:2008
366	EST	Estonia	11:11:1918	01:06:1940
366	EST	Estonia	06:09:1991	01:11:2008
367	LAT	Latvia	01:11:1918	01:06:1940
367	LAT	Latvia	06:09:1991	01:11:2008
368	LIT	Lithuania	16:02:1918	01:06:1940
368	LIT	Lithuania	06:09:1991	01:11:2008
369	UKR	Ukraine	01:12:1991	01:11:2008
370	BLR	Belarus (Byelorussia)	25:08:1991	01:11:2008
371	ARM	Armenia	23:09:1991	01:11:2008
372	GRG	Georgia	06:09:1991	01:11:2008
373	AZE	Azerbaijan	30:08:1991	01:11:2008
375	FIN	Finland	06:12:1917	01:11:2008
380	SWD	Sweden	01:01:1816	01:11:2008
385	NOR	Norway	26:08:1905	01:11:2008
390	DEN	Denmark	01:01:1816	01:11:2008
395	ICE	Iceland	17:06:1944	01:11:2008
402	CAP	Cape Verde	05:07:1975	01:11:2008
404	GNB	Guinea-Bissau	10:09:1974	01:11:2008
411	EQG	Equatorial Guinea	12:10:1968	01:11:2008
420	GAM	Gambia	18:02:1965	01:11:2008
432	MLI	Mali	22:09:1960	01:11:2008
433	SEN	Senegal	04:04:1960	01:11:2008
434	BEN	Benin	01:08:1960	01:11:2008
435	MAA	Mauritania	28:11:1960	01:11:2008
436	NIR	Niger	03:08:1960	01:11:2008
437	CDI	Cote D’Ivoire	07:08:1960	01:11:2008
438	GUI	Guinea	02:10:1958	01:11:2008
439	BFO	Burkina Faso (Upper Volta)	05:08:1960	01:11:2008
450	LBR	Liberia	26:07:1847	01:11:2008
451	SIE	Sierra Leone	27:04:1961	01:11:2008
452	GHA	Ghana	06:03:1957	01:11:2008
461	TOG	Togo	27:04:1960	01:11:2008
471	CAO	Cameroon	01:01:1960	01:11:2008
475	NIG	Nigeria	01:10:1960	01:11:2008
481	GAB	Gabon	17:08:1960	01:11:2008
482	CEN	Central African Republic	13:08:1960	01:11:2008
483	CHA	Chad	11:08:1960	01:11:2008
484	CON	Congo	15:08:1960	01:11:2008
490	DRC	Congo, Democratic Republic of (Zaire)	30:06:1960	01:11:2008
500	UGA	Uganda	09:10:1962	01:11:2008
501	KEN	Kenya	12:12:1963	01:11:2008
510	TAZ	Tanzania/Tanganyika	09:12:1961	01:11:2008
511	ZAN	Zanzibar	19:12:1963	26:04:1964
516	BUI	Burundi	01:07:1962	01:11:2008
517	RWA	Rwanda	07:01:1962	01:11:2008
520	SOM	Somalia	01:07:1960	01:11:2008
522	DJI	Djibouti	27:06:1977	01:11:2008
530	ETH	Ethiopia	11:02:1855	01:11:2008
531	ERI	Eritrea	24:05:1993	01:11:2008
540	ANG	Angola	11:11:1975	01:11:2008
541	MZM	Mozambique	25:06:1975	01:11:2008
551	ZAM	Zambia	24:10:1964	01:11:2008
552	ZIM	Zimbabwe (Rhodesia)	11:11:1965	01:11:2008
553	MAW	Malawi	06:07:1964	01:11:2008
560	SAF	South Africa	31:05:1910	01:11:2008
563	TRA	Transvaal	01:01:1852	30:05:1910
564	OFS	Orange Free State	28:03:1854	30:05:1910
565	NAM	Namibia	21:03:1990	01:11:2008
570	LES	Lesotho	04:10:1966	01:11:2008
571	BOT	Botswana	30:09:1966	01:11:2008
572	SWA	Swaziland	06:09:1968	01:11:2008
580	MAG	Madagascar (Malagasy)	01:01:1816	05:08:1896
580	MAG	Madagascar	26:06:1960	01:11:2008
581	COM	Comoros	06:07:1975	01:11:2008
590	MAS	Mauritius	12:03:1968	01:11:2008
600	MOR	Morocco	01:01:1816	01:01:1904
600	MOR	Morocco	02:03:1956	01:11:2008
615	ALG	Algeria	01:01:1816	05:07:1830
615	ALG	Algeria	05:07:1962	01:11:2008
616	TUN	Tunisia	01:01:1816	12:05:1881
616	TUN	Tunisia	01:01:1956	01:11:2008
620	LIB	Libya	01:01:1816	31:12:1834
620	LIB	Libya	24:12:1951	01:11:2008
625	SUD	Sudan	01:01:1956	01:11:2008
630	IRN	Iran (Persia)	01:01:1816	01:11:2008
640	TUR	Turkey (Ottoman Empire)	01:01:1816	01:11:2008
645	IRQ	Iraq	03:10:1932	01:11:2008
651	EGY	Egypt	01:01:1827	31:12:1855
651	EGY	Egypt	28:02:1922	01:11:2008
652	SYR	Syria	01:01:1946	01:11:2008
660	LEB	Lebanon	22:11:1944	01:11:2008
663	JOR	Jordan	25:05:1946	01:11:2008
666	ISR	Israel	14:05:1948	01:11:2008
670	SAU	Saudi Arabia	23:09:1932	01:11:2008
678	YEM	Yemen (Arab Republic of Yemen)	30:10:1918	01:11:2008
680	YPR	Yemen, People's Republic of	30:11:1967	21:05:1990
690	KUW	Kuwait	19:06:1961	01:11:2008
692	BAH	Bahrain	15:08:1971	01:11:2008
694	QAT	Qatar	03:09:1971	01:11:2008
696	UAE	United Arab Emirates	02:12:1971	01:11:2008
698	OMA	Oman	01:01:1816	01:11:2008
700	AFG	Afghanistan	01:01:1816	30:12:1888
700	AFG	Afghanistan	01:05:1919	01:11:2008
701	TKM	Turkmenistan	27:10:1991	01:11:2008
702	TAJ	Tajikistan	09:09:1991	01:11:2008
703	KYR	Kyrgyz Republic	31:08:1991	01:11:2008
704	UZB	Uzbekistan	31:08:1991	01:11:2008
705	KZK	Kazakhstan	16:12:1991	01:11:2008
710	CHN	China	01:01:1816	01:11:2008
711	TBT	Tibet	01:01:1913	01:10:1950
712	MON	Mongolia	13:03:1921	01:11:2008
713	TAW	Taiwan	08:12:1949	01:11:2008
730	KOR	Korea	01:01:1816	22:08:1910
731	PRK	Korea, People's Republic of	09:09:1948	01:11:2008
732	ROK	Korea, Republic of	15:08:1948	01:11:2008
740	JPN	Japan	01:01:1816	01:11:2008
750	IND	India	15:08:1947	01:11:2008
760	BHU	Bhutan	01:01:1949	01:11:2008
770	PAK	Pakistan	14:08:1947	01:11:2008
771	BNG	Bangladesh	16:12:1971	01:11:2008
775	MYA	Myanmar (Burma)	01:01:1816	31:12:1885
775	MYA	Myanmar (Burma)	04:01:1948	01:11:2008
780	SRI	Sri Lanka (Ceylon)	04:02:1948	01:11:2008
781	MAD	Maldives	26:05:1965	01:11:2008
790	NEP	Nepal	01:01:1816	01:11:2008
800	THI	Thailand	01:01:1816	01:11:2008
811	CAM	Cambodia (Kampuchea)	09:11:1953	01:11:2008
812	LAO	Laos	01:05:1954	01:11:2008
815	VNM	Vietnam (Annam/Cochin China/Tonkin)	01:01:1816	01:01:1893
816	DRV	Vietnam, Democratic Republic of	01:05:1954	01:11:2008
817	RVN	Vietnam, Republic of	01:05:1954	30:04:1975
820	MAL	Malaysia	31:08:1957	01:11:2008
830	SIN	Singapore	09:08:1965	01:11:2008
835	BRU	Brunei	01:01:1984	01:11:2008
840	PHI	Philippines	04:07:1946	01:11:2008
850	INS	Indonesia	17:08:1945	01:11:2008
860	ETM	East Timor	20:05:2002	01:11:2008
900	AUL	Australia	01:01:1901	01:11:2008
910	PNG	Papua New Guinea	16:09:1975	01:11:2008
920	NEW	New Zealand	01:09:1907	01:11:2008
940	SOL	Solomon Islands	07:07:1978	01:11:2008
950	FJI	Fiji	10:10:1970	01:11:2008
